plant_name,plant_code,latitude,longitude,ac_capacity,dc_capacity,dc_loss_factor,temperature_coefficient,tracking,tracking_type,fixed_tilt,fixed_azimuth,axis_tilt,axis_azimuth,backtrack,max_rotation_angle,ground_coverage_ratio,Crystalline Silicon?,Thin-Film (CdTe)?,Operating_Month,Operating_Year
SR Arlington II,62367,31.415531,-84.830714,102.5,139.7,0.15,-0.35,Y,single_axis,60,60,0,180,True,60,0.35,Y,,11,2019
"White Pine Solar, LLC",60064,32.506017,-84.256976,101.2,148.5,0.15,-0.35,,fixed,17,200,NaN,NaN,NaN,NaN,0.5,Y,,7,2016
SR Lumpkin,64191,32.025,-84.7325,100,140,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,12,2021
Snipesville,62165,31.715814,-82.74946,86,122.8,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,12,2020
"Decatur Parkway Solar Project, LLC",59450,30.991944,-84.633889,80,110,0.15,-0.35,Y,single_axis, ,90,0,180,True,60,0.35,Y,,12,2015
Lancaster Solar GA,64150,31.766506,-84.797206,80,114,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,12,2021
"White Oak Solar, LLC",60082,33.036789,-82.111292,76.5,112.6,0.15,-0.35,,fixed,17,200,NaN,NaN,NaN,NaN,0.5,Y,,7,2016
SR Terrell,62058,31.871387,-84.361952,74,105.5,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,N,Y,9,2020
"SR Cedar Springs, LLC",64840,31.2453,-85.086975,70,101,0.15,-0.25,Y,single_axis,20,180,0,180,False,60,0.45,,Y,12,2022
SR Perry,64151,32.39597,-83.762901,68,98,0.15,-0.25,Y,single_axis, ,0,0,180,False,60,0.45,,Y,12,2021
OE_GA3,63350,31.196185,-84.147539,57.5,78,0.15,-0.25,Y,single_axis,0,180,0,180,False,60,0.45,,Y,1,2020
Hazlehurst II,60554,31.819444,-82.602222,52.5,74.1,0.15,-0.25,Y,single_axis,45,180,0,180,False,60,0.45,,Y,12,2016
"Live Oak Solar, LLC",60063,32.423798,-82.102824,51,76.5,0.15,-0.35,Y,single_axis,17,200,0,180,True,60,0.35,Y,,12,2016
Moody Air Force Base Solar,62377,30.9574,-83.2229,49.5,66.2,0.15,-0.35,,fixed,15,0,NaN,NaN,NaN,NaN,0.5,Y,,6,2020
Hazlehurst III,62057,31.832474,-82.602139,40,55.3,0.15,-0.35,Y,single_axis,60,60,0,180,True,60,0.35,Y,,12,2019
Marine Corps Logistics Base Solar,59876,31.560729,-84.093261,31,43.2,0.15,-0.35,,fixed,18,185,NaN,NaN,NaN,NaN,0.5,Y,,2,2018
Sumrall I Solar Farm,60306,31.403531,-89.49764,52,74.1,0.15,-0.35,Y,single_axis, ,90,0,180,True,60,0.35,Y,,6,2017
Pawpaw Solar Plant,59894,32.572875,-84.256778,30.5,42.5,0.15,-0.35,Y,single_axis, ,90,0,180,True,60,0.35,Y,,3,2016
